epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,35.6908,2.24009,14.2362,1.88494,0.15636,0.71875,0.29536,0.09416,2.1722,4.40897,1.59788,0.00054956,0.00054956,0.00054956
2,56.9841,1.97779,10.23,1.52257,0.64389,0.3125,0.41157,0.17538,2.20233,3.86707,1.70469,0.00109429,0.00109429,0.00109429
3,78.3702,2.03441,8.5429,1.494,0.43028,0.62826,0.51043,0.18186,2.04511,3.34441,1.30707,0.00162801,0.00162801,0.00162801
4,100.228,2.00412,7.36707,1.4058,0.36836,0.59375,0.44043,0.18481,2.09679,3.28166,1.40526,0.00161749,0.00161749,0.00161749
5,121.813,1.91705,6.12246,1.33372,0.52557,0.67003,0.65807,0.26585,2.11885,3.32749,1.52255,0.00160099,0.00160099,0.00160099
6,143.511,1.95646,5.23399,1.27326,0.71553,0.51402,0.64622,0.31802,1.93933,2.92132,1.2958,0.00158448,0.00158448,0.00158448
7,165.113,1.88092,4.39076,1.2281,0.68108,0.5,0.58471,0.25431,1.88789,2.16168,1.28552,0.00156798,0.00156798,0.00156798
8,186.37,1.86361,3.90833,1.20057,0.53742,0.84375,0.76469,0.30715,2.0065,2.31947,1.34118,0.00155148,0.00155148,0.00155148
9,208.157,1.72446,3.21982,1.16628,0.70004,0.71875,0.75812,0.386,1.82273,1.44031,1.20286,0.00153497,0.00153497,0.00153497
10,229.769,1.68108,2.79267,1.08529,0.8731,0.77107,0.81747,0.37804,1.84632,1.39222,1.23164,0.00151847,0.00151847,0.00151847
11,251.304,1.80371,2.61443,1.14725,0.63629,0.875,0.77416,0.33423,1.89328,1.38357,1.39026,0.00150197,0.00150197,0.00150197
12,272.933,1.80137,2.28827,1.10672,0.67857,0.84375,0.79994,0.37732,1.79832,1.50731,1.03524,0.00148546,0.00148546,0.00148546
13,294.606,1.69402,2.13291,1.07313,0.74314,0.6887,0.70555,0.31278,2.05378,1.54062,1.39851,0.00146896,0.00146896,0.00146896
14,316.486,1.69642,1.9509,1.0644,0.67201,0.65625,0.76833,0.40754,1.8473,1.54252,1.07316,0.00145246,0.00145246,0.00145246
15,337.966,1.67761,1.7597,1.02609,0.74347,0.81906,0.80128,0.42745,1.66742,1.33564,1.01606,0.00143595,0.00143595,0.00143595
16,359.533,1.69787,1.72431,1.0165,0.82101,0.77591,0.81844,0.39443,1.78965,1.19743,0.97589,0.00141945,0.00141945,0.00141945
17,381.012,1.62163,1.58605,0.98,0.79434,0.875,0.86092,0.44813,1.75038,1.14165,0.92971,0.00140295,0.00140295,0.00140295
